variant,path,standard_name,reviewer_score,reviewer_verdict,reviewer_comment,rationale
A,equilibrium/time_slice/profiles_1d/psi,poloidal_magnetic_flux,1.0,pass,"Correct physical quantity, proper controlled vocabulary, no abbreviations or IDS leakage.",This is the poloidal magnetic flux (ψ) serving as the primary radial coordinate labeling flux surfaces in the equilibrium reconstruction.
A,equilibrium/time_slice/boundary/elongation,elongation_of_plasma_boundary,1.0,pass,Correct quantity with proper qualifier. Grammar-compliant using 'of_plasma_boundary' modifier.,"This is the elongation (κ) of the plasma boundary cross-section, a key shaping parameter defined as the ratio of half-height to minor radius."
A,equilibrium/time_slice/boundary/outline/r,plasma_boundary_outline_r_coordinate,0.5,revise,Uses abbreviation 'r' instead of 'major_radius'. Should be 'major_radius_of_plasma_boundary_outline' or similar.,This is the major radius (R) coordinate of points along the plasma boundary outline.
A,equilibrium/vacuum_toroidal_field/r0,reference_major_radius_of_vacuum_toroidal_field,0.9,pass,Correct quantity and good grammar. Clear and descriptive with proper controlled vocabulary.,"This is the reference major radius (R0) at which the vacuum toroidal magnetic field is specified, used for coordinate and normalization definitions."
A,magnetics/ip/data,plasma_current,1.0,pass,"Correct physical quantity, concise, proper controlled vocabulary, no IDS leakage.",This is the total plasma current (Ip) as measured by the magnetics diagnostic.
A,magnetics/flux_loop/flux/data,poloidal_magnetic_flux_measured,0.8,pass,Correct quantity. 'measured' is slightly unusual as a modifier but acceptable for distinguishing diagnostic data.,This is the poloidal magnetic flux measured by a flux loop diagnostic sensor.
A,magnetics/b_field_pol_probe/position/r,poloidal_field_probe_r_coordinate,0.4,fail,Uses abbreviation 'r' instead of 'major_radius'. Should be 'major_radius_of_poloidal_field_probe_position'.,This is the major radius (R) coordinate of the poloidal magnetic field probe position.
A,magnetics/b_field_pol_probe/length,poloidal_field_probe_length,0.9,pass,"Correct quantity, clear grammar. Describes the physical length of the probe coil appropriately.","This is the physical length of the poloidal magnetic field probe coil, a geometric parameter for sensor characterization."
A,core_transport/model/profiles_1d/electrons/energy/d,electron_energy_diffusivity,1.0,pass,"Correct physical quantity, proper controlled vocabulary, clean grammar.",This is the diffusion coefficient for electron energy transport in the radial direction.
A,core_transport/model/profiles_1d/electrons/particles/flux,electron_particle_flux,1.0,pass,"Correct quantity, concise, proper grammar and controlled vocabulary.",This is the radial electron particle flux across flux surfaces in the core transport model.
A,core_transport/model/profiles_1d/grid/rho_tor_norm,normalized_toroidal_flux_coordinate,1.0,pass,"Correct quantity, proper grammar. Accurately describes the dimensionless rho_tor_norm coordinate.",This is the normalized toroidal flux coordinate (ρ_tor_norm) used as the radial grid for core transport profiles.
A,core_transport/vacuum_toroidal_field/r0,reference_major_radius_of_vacuum_toroidal_field,0.9,pass,"Correct quantity, good grammar. Identical to equilibrium entry, consistent naming.","This is the reference major radius (R0) at which the vacuum toroidal magnetic field is specified, used for toroidal flux coordinate definitions."
A,nbi/unit/energy/data,neutral_beam_energy,1.0,pass,"Correct physical quantity, clean controlled vocabulary, no IDS leakage.","This is the energy of the neutral beam injection unit, characterizing the injected particle kinetic energy."
A,nbi/unit/beam_power_fraction/data,neutral_beam_power_fraction,1.0,pass,"Correct quantity, proper grammar, no abbreviations or IDS leakage.",This is the fractional distribution of beam power among energy components of the neutral beam injection unit.
A,ec_launchers/beam/launching_position/r,ec_launcher_r_coordinate,0.3,fail,Uses abbreviation 'ec' and 'r'. Should use full terms like 'major_radius_of_electron_cyclotron_launcher_position'.,This is the major radius (R) coordinate of the electron cyclotron launcher beam launching position.
A,nbi/unit/species/a,atomic_mass,0.9,pass,Correct physical quantity for mass number in atomic mass units. Clean and concise.,This is the atomic mass number of the neutral beam injection species.
A,thomson_scattering/channel/t_e/data,electron_temperature,1.0,pass,"Correct physical quantity, proper controlled vocabulary, no IDS leakage.",This is the electron temperature measured by the Thomson scattering diagnostic channel.
A,interferometer/channel/n_e_line/data,line_integrated_electron_density,1.0,pass,"Correct quantity, proper grammar, matches the m^-2 unit for line-integrated density.",This is the line-integrated electron density measured along the interferometer channel line of sight.
A,thomson_scattering/channel/position/r,thomson_scattering_channel_r_coordinate,0.3,fail,Uses abbreviation 'r' and leaks IDS name 'thomson_scattering'. Should be 'major_radius_of_measurement_position'.,This is the major radius (R) coordinate of the Thomson scattering measurement channel position.
A,interferometer/channel/line_of_sight/first_point/r,interferometer_line_of_sight_first_point_r_coordinate,0.2,fail,"Leaks IDS name 'interferometer', uses abbreviation 'r'. Overly long. Should use 'major_radius_of_line_of_sight_first_point'.",This is the major radius (R) coordinate of the first point of the interferometer channel line of sight.
B,equilibrium/time_slice/profiles_1d/psi,poloidal_magnetic_flux,1.0,pass,"Correct physical quantity, proper controlled vocabulary, no abbreviations or IDS leakage.",Poloidal magnetic flux (ψ) serving as the primary flux-surface label coordinate in the equilibrium radial profile.
B,equilibrium/time_slice/boundary/elongation,elongation,0.9,pass,"Correct quantity. Could benefit from qualifier like 'plasma_boundary_elongation' for specificity, but 'elongation' is acceptable and concise.","Elongation (κ) of the plasma boundary cross-section, a key shaping parameter."
B,equilibrium/time_slice/boundary/outline/r,plasma_boundary_outline_r_coordinate,0.5,revise,Uses 'r_coordinate' which embeds a symbol/abbreviation. Should use 'major_radius' instead of 'r_coordinate'.,Major radius (R) coordinate of the plasma boundary outline points.
B,equilibrium/vacuum_toroidal_field/r0,reference_major_radius,1.0,pass,"Clear, correct quantity, proper grammar, no abbreviations or IDS leakage.",Reference major radius (R0) at which the vacuum toroidal magnetic field is specified.
B,magnetics/ip/data,plasma_current,1.0,pass,"Correct physical quantity, clean standard name, no issues.",Measured plasma current (Ip) from the magnetics diagnostic.
B,magnetics/flux_loop/flux/data,poloidal_magnetic_flux_loop,0.5,revise,'loop' is not a physical quantity modifier; should be 'poloidal_magnetic_flux' or 'flux_loop_poloidal_magnetic_flux_measurement'. Mixes instrument with quantity.,Poloidal magnetic flux measured by a flux loop diagnostic sensor.
B,magnetics/b_field_pol_probe/position/r,poloidal_field_probe_r_coordinate,0.4,fail,Contains instrument name leakage ('poloidal_field_probe') and symbol 'r'. Should be 'major_radius' with appropriate context.,Major radius (R) coordinate of the poloidal magnetic field probe position.
B,magnetics/b_field_pol_probe/length,poloidal_field_probe_length,0.5,revise,"Instrument type in name is borderline acceptable for a geometric property, but 'r' is absent. Minor style concern with device-specific naming.",Physical length of the poloidal magnetic field probe coil.
B,core_transport/model/profiles_1d/electrons/energy/d,electron_energy_diffusivity,1.0,pass,"Correct quantity, proper grammar, controlled vocabulary, no leakage.",Diffusion coefficient for electron energy transport across flux surfaces.
B,core_transport/model/profiles_1d/electrons/particles/flux,electron_particle_flux_radial,0.8,pass,Correct quantity. Minor style issue: 'radial' as trailing modifier; 'radial_electron_particle_flux' might be more standard but acceptable.,Radial electron particle flux across flux surfaces in the core transport model.
B,core_transport/model/profiles_1d/grid/rho_tor_norm,normalised_toroidal_flux_coordinate,1.0,pass,"Correct quantity, proper controlled vocabulary, no abbreviations or symbols.",Normalised toroidal flux coordinate (ρ_tor_norm) used as the radial grid for core transport profiles.
B,core_transport/vacuum_toroidal_field/r0,reference_major_radius,1.0,pass,"Correct, clean, reusable standard name. Identical to equilibrium counterpart, which is appropriate.",Reference major radius (R0) at which the vacuum toroidal magnetic field is specified for transport coordinate definitions.
B,nbi/unit/energy/data,neutral_beam_energy,1.0,pass,"Correct physical quantity, proper grammar, no IDS leakage.",Injection energy of the neutral beam unit.
B,nbi/unit/beam_power_fraction/data,neutral_beam_power_fraction,1.0,pass,"Correct quantity, clean naming, no abbreviations or IDS leakage.",Fractional power distribution among energy components of the neutral beam unit.
B,ec_launchers/beam/launching_position/r,ec_launcher_r_coordinate,0.2,fail,Contains abbreviation 'ec' and symbol 'r'. Should avoid IDS-specific device names and use 'major_radius' instead.,Major radius (R) coordinate of the electron cyclotron launcher launching position.
B,nbi/unit/species/a,neutral_beam_species_mass,0.9,pass,"Correct quantity. Could specify 'atomic_mass' for precision, but 'mass' with unit 'u' is acceptable.",Atomic mass of the neutral beam injected species.
B,thomson_scattering/channel/t_e/data,electron_temperature,1.0,pass,"Correct physical quantity, clean standard name, no method leakage.",Electron temperature measured by a Thomson scattering diagnostic channel.
B,interferometer/channel/n_e_line/data,line_integrated_electron_density,1.0,pass,"Correct quantity, proper grammar, consistent with unit m^-2, no IDS leakage.",Line-integrated electron density measured along an interferometer channel line of sight.
B,thomson_scattering/channel/position/r,thomson_scattering_channel_r_coordinate,0.2,fail,Contains IDS/method name 'thomson_scattering' and symbol 'r'. Should be 'major_radius' without method leakage.,Major radius (R) coordinate of the Thomson scattering measurement channel position.
B,interferometer/channel/line_of_sight/first_point/r,interferometer_line_of_sight_first_point_r_coordinate,0.2,fail,"Contains IDS name 'interferometer', structural path leakage, and symbol 'r'. Should use 'major_radius'.",Major radius (R) coordinate of the first point of the interferometer channel line of sight.
C,equilibrium/time_slice/profiles_1d/psi,poloidal_magnetic_flux,1.0,pass,"Correct physical quantity, proper controlled vocabulary, no abbreviations or IDS leakage.",This is the poloidal magnetic flux (ψ) serving as the primary flux-surface label coordinate in MHD equilibrium.
C,equilibrium/time_slice/boundary/elongation,elongation,0.9,pass,"Correct quantity. Could benefit from qualifier like 'plasma_boundary_elongation' for specificity, but 'elongation' is acceptable and concise.","Elongation (κ) of the plasma boundary cross-section, a key plasma shaping parameter."
C,equilibrium/time_slice/boundary/outline/r,plasma_boundary_r_coordinate,0.8,pass,Correct quantity. Uses 'r_coordinate' which is acceptable. 'major_radius' might be more standard than 'r_coordinate' but this is reasonable.,Major radius (R) coordinate of the plasma boundary outline points.
C,equilibrium/vacuum_toroidal_field/r0,reference_major_radius,1.0,pass,"Correct quantity, clean grammar, no IDS leakage, proper controlled vocabulary.",Reference major radius (R0) at which the vacuum toroidal magnetic field B0 is specified.
C,magnetics/ip/data,plasma_current,1.0,pass,"Correct physical quantity, concise, proper standard naming convention.",This is the plasma current (Ip) measurement from the magnetics diagnostic.
C,magnetics/flux_loop/flux/data,magnetic_flux_loop_flux,0.7,revise,Redundant 'flux' appears twice. Consider 'magnetic_flux_loop_measured_flux' or simply 'magnetic_flux_from_flux_loop'. Slightly awkward construction.,Poloidal magnetic flux measured by a flux loop diagnostic sensor.
C,magnetics/b_field_pol_probe/position/r,poloidal_field_probe_r_coordinate,0.8,pass,Correct quantity. 'r_coordinate' is acceptable for major radius position. Clear and descriptive.,Major radius (R) coordinate of the poloidal magnetic field probe position.
C,magnetics/b_field_pol_probe/length,poloidal_field_probe_length,1.0,pass,"Correct quantity, clean grammar, no abbreviations or IDS leakage.",Physical length of the poloidal magnetic field probe coil used for sensor characterization.
C,core_transport/model/profiles_1d/electrons/energy/d,electron_energy_diffusivity,1.0,pass,"Correct physical quantity, proper controlled vocabulary, matches units m^2/s.",Diffusion coefficient (D) for electron energy transport in the 1D core transport model.
C,core_transport/model/profiles_1d/electrons/particles/flux,electron_particle_flux,1.0,pass,"Correct physical quantity, clean naming, matches units m^-2.s^-1.",Radial electron particle flux (Γe) across flux surfaces in the core transport model.
C,core_transport/model/profiles_1d/grid/rho_tor_norm,rho_tor_norm,0.2,fail,Uses symbol/abbreviation 'rho_tor_norm' directly. Should be 'normalized_toroidal_flux_coordinate' or similar descriptive name.,Normalized toroidal flux coordinate (ρ_tor_norm) used as the radial grid in core transport profiles.
C,core_transport/vacuum_toroidal_field/r0,reference_major_radius,1.0,pass,"Correct quantity, same as entry 4. Clean, proper standard name.","Reference major radius (R0) at which the vacuum toroidal magnetic field is defined, same physical quantity as in equilibrium."
C,nbi/unit/energy/data,neutral_beam_energy,1.0,pass,"Correct physical quantity, proper controlled vocabulary, no IDS leakage.",Injection energy of the neutral beam unit.
C,nbi/unit/beam_power_fraction/data,neutral_beam_power_fraction,1.0,pass,"Correct quantity, clean grammar, descriptive and concise.",Fractional power distribution among energy components of the neutral beam unit.
C,ec_launchers/beam/launching_position/r,ec_launcher_r_coordinate,0.5,revise,'ec' is an abbreviation for electron cyclotron. Should use full form like 'electron_cyclotron_launcher_major_radius_coordinate'.,Major radius (R) coordinate of the electron cyclotron launcher launching position.
C,nbi/unit/species/a,neutral_beam_species_mass,0.9,pass,"Correct quantity. Could specify 'atomic_mass' for clarity, but 'mass' with unit 'u' is acceptable.",Atomic mass number of the neutral beam injected species.
C,thomson_scattering/channel/t_e/data,electron_temperature,1.0,pass,"Correct physical quantity, clean standard name, no IDS or method leakage.",Electron temperature measured by the Thomson scattering diagnostic.
C,interferometer/channel/n_e_line/data,line_integrated_electron_density,1.0,pass,"Correct physical quantity, proper controlled vocabulary, matches units m^-2.",Line-integrated electron density measured along the interferometer channel line of sight.
C,thomson_scattering/channel/position/r,thomson_scattering_channel_r_coordinate,0.3,fail,Leaks IDS/method name 'thomson_scattering'. Should be a generic name like 'measurement_position_major_radius' or similar.,Major radius (R) coordinate of the Thomson scattering measurement channel position.
C,interferometer/channel/line_of_sight/first_point/r,interferometer_line_of_sight_first_point_r_coordinate,0.2,fail,Leaks IDS name 'interferometer'. Overly specific path-like structure. Should use generic name without instrument type.,Major radius (R) coordinate of the first point of the interferometer channel line of sight.
